%time vcc icc nReset externalCircuitry.v_cap externalCircuitry.keepAlive externalCircuitry.i_supply
0.00514 3.94559895454 4.75786996748e-05 1 3.94559895454 0 0
0.00515 3.94544307708 7.4731495029e-05 1 3.94544307708 0 0
0.00516 3.94528865432 7.439545066e-05 1 3.94528865432 0 0
0.00517 3.94507645965 7.50824866804e-05 1 3.94507645965 0 0
0.00518 3.94486497996 8.546981381e-05 1 3.94486497996 0 0
0.00519 3.9446520385 8.54718978192e-05 1 3.9446520385 0 0
0.0052 3.94441699635 6.83644494328e-05 1 3.94441699635 0 0
0.00521 3.94418194975 6.30039109842e-05 1 3.94418194975 0 0
0.00522 3.94398330199 5.86670373325e-05 1 3.94398330199 0 0
0.00523 3.94379605963 4.69171938876e-05 1 3.94379605963 0 0
0.00524 3.94361804465 4.72609552772e-05 1 3.94361804465 0 0
0.00525 3.94346502935 7.4429854262e-05 1 3.94346502935 0 0
0.00526 3.94331128263 6.90669592331e-05 1 3.94331128263 0 0
0.00527 3.94309972975 5.36583179046e-05 1 3.94309972975 0 0
0.00528 3.94289958729 4.29308580693e-05 1 3.94289958729 0 0
0.00529 3.94273222916 4.82992654118e-05 1 3.94273222916 0 0
0.0053 3.94258769542 4.29342542615e-05 1 3.94258769542 0 0
0.00531 3.94243173954 4.79586691268e-05 1 3.94243173954 0 0
0.00532 3.94228719857 7.41103326696e-05 1 3.94228719857 0 0
0.00533 3.94213196736 4.83040883929e-05 1 3.94213196736 0 0
0.00534 3.94192109431 4.8309204022e-05 1 3.94192109431 0 0
0.00535 3.94176512817 4.29432137785e-05 1 3.94176512817 0 0
0.00536 3.94160915114 4.29449131238e-05 1 3.94160915114 0 0
0.00537 3.94146459111 3.72363469705e-05 1 3.94146459111 0 0
0.00538 3.94132002746 5.83673697475e-05 1 3.94132002746 0 0
0.00539 3.9411876097 9.09157186289e-05 1 3.9411876097 0 0
0.0054 3.94101023232 7.48180851346e-05 1 3.94101023232 0 0
0.00541 3.94076360313 8.59006581187e-05 1 3.94076360313 0 0
0.00542 3.94055122423 6.91153354197e-05 1 3.94055122423 0 0
0.00543 3.94031526538 8.52240396248e-05 1 3.94031526538 0 0
0.00544 3.94011501999 7.34672949861e-05 1 3.94011501999 0 0
0.00545 3.93988050075 5.83861627063e-05 1 3.93988050075 0 0
0.00546 3.93967099587 6.9472763473e-05 1 3.93967099587 0 0
0.00547 3.9394935785 5.26814322003e-05 1 3.9394935785 0 0
0.00548 3.93929257262 6.41081663221e-05 1 3.93929257262 0 0
0.00549 3.93912729298 8.02202784129e-05 1 3.93912729298 0 0
0.0055 3.93893770114 6.41139420317e-05 1 3.93893770114 0 0
0.00551 3.9387138282 5.30339305232e-05 1 3.9387138282 0 0
0.00552 3.93852422407 8.49232435809e-05 1 3.93852422407 0 0
0.00553 3.93835819443 6.41233760287e-05 1 3.93835819443 0 0
0.00554 3.93812431519 8.02407092452e-05 1 3.93812431519 0 0
0.00555 3.93793469099 5.27022868953e-05 1 3.93793469099 0 0
0.00556 3.93771077458 6.98469692882e-05 1 3.93771077458 0 0
0.00557 3.93754545057 6.88259250203e-05 1 3.93754545057 0 0
0.00558 3.93734364851 6.88294525797e-05 1 3.93734364851 0 0
0.00559 3.93714401888 7.45493499893e-05 1 3.93714401888 0 0
0.0056 3.93694438175 4.2308817124e-05 1 3.93694438175 0 0
0.00561 3.93673257462 4.70013750935e-05 1 3.93673257462 0 0
0.00562 3.93658936437 6.38099350809e-05 1 3.93658936437 0 0
0.00563 3.93643616995 6.34726866416e-05 1 3.93643616995 0 0
0.00564 3.93624721265 7.49060828179e-05 1 3.93624721265 0 0
0.00565 3.93605897289 4.83811527458e-05 1 3.93605897289 0 0
0.00566 3.93584640675 4.30077917352e-05 1 3.93584640675 0 0
0.00567 3.93569027664 4.30094978683e-05 1 3.93569027664 0 0
0.00568 3.93554557921 4.83874640888e-05 1 3.93554557921 0 0
0.00569 3.93540087815 4.77019936488e-05 1 3.93540087815 0 0
0.0057 3.93524473461 7.99595900856e-05 1 3.93524473461 0 0
0.00571 3.93509004952 4.30160581927e-05 1 3.93509004952 0 0
0.00572 3.93486673124 4.30184995135e-05 1 3.93486673124 0 0
0.00573 3.93472201622 4.83975919007e-05 1 3.93472201622 0 0
0.00574 3.93457729601 4.30216640387e-05 1 3.93457729601 0 0
0.00575 3.93442113092 3.73030080418e-05 1 3.93442113092 0 0
0.00576 3.93427640398 7.9979270279e-05 1 3.93427640398 0 0
0.00577 3.93414384439 6.92279007514e-05 1 3.93414384439 0 0
0.00578 3.93392048424 8.60500837157e-05 1 3.93392048424 0 0
0.00579 3.93371999934 7.49567430135e-05 1 3.93371999934 0 0
0.0058 3.93348372257 8.57145776485e-05 1 3.93348372257 0 0
0.00581 3.93327104865 7.96571709233e-05 1 3.93327104865 0 0
0.00582 3.93303548572 5.74626263068e-05 1 3.93303548572 0 0
0.00583 3.93281281088 5.88336711517e-05 1 3.93281281088 0 0
0.00584 3.93263735849 5.81511010188e-05 1 3.93263735849 0 0
0.00585 3.93245898897 4.20144618626e-05 1 3.93245898897 0 0
0.00586 3.93228207174 6.35397397597e-05 1 3.93228207174 0 0
0.00587 3.93213948778 7.46442307894e-05 1 3.93213948778 0 0
0.00588 3.93195110535 5.91892221031e-05 1 3.93195110535 0 0
0.00589 3.93173909635 4.84343100387e-05 1 3.93173909635 0 0
0.0059 3.93155997035 4.30546815616e-05 1 3.93155997035 0 0
0.00591 3.93140372713 4.30563926557e-05 1 3.93140372713 0 0
0.00592 3.93125892994 3.73330135975e-05 1 3.93125892994 0 0
0.00593 3.9311141291 7.46637003613e-05 1 3.9311141291 0 0
0.00594 3.93098150567 6.42437068383e-05 1 3.93098150567 0 0
0.00595 3.93076945524 4.30633402673e-05 1 3.93076945524 0 0
0.00596 3.93057957502 4.30654205907e-05 1 3.93057957502 0 0
0.00597 3.9304347594 4.84503832378e-05 1 3.9304347594 0 0
0.00598 3.93028993935 4.27257921167e-05 1 3.93028993935 0 0
0.00599 3.93013366194 5.314971283e-05 1 3.93013366194 0 0
0.006 3.92998956451 8.61336148778e-05 1 3.92998956451 0 0
0.00601 3.92982328853 7.46882253658e-05 1 3.92982328853 0 0
0.00602 3.92958683403 7.53784464487e-05 1 3.92958683403 0 0
0.00603 3.92937473142 8.0421921838e-05 1 3.92937473142 0 0
0.00604 3.92916116026 8.54659736809e-05 1 3.92916116026 0 0
0.00605 3.9289368583 6.29079990597e-05 1 3.9289368583 0 0
0.00606 3.92870182431 7.43640646336e-05 1 3.92870182431 0 0
0.00607 3.92851478602 5.35145719498e-05 1 3.92851478602 0 0
0.00608 3.92830337311 6.39445297174e-05 1 3.92830337311 0 0
0.00609 3.92813632083 6.39472490933e-05 1 3.92813632083 0 0
0.0061 3.92794707715 7.00205878888e-05 1 3.92794707715 0 0
0.00611 3.92775782768 6.39534112847e-05 1 3.92775782768 0 0
0.00612 3.92755565622 6.9344025506e-05 1 3.92755565622 0 0
0.00613 3.92736639364 8.01199899188e-05 1 3.92736639364 0 0
0.00614 3.92716566167 7.47362279392e-05 1 3.92716566167 0 0
0.00615 3.92694200212 5.85785335857e-05 1 3.92694200212 0 0
0.00616 3.92672979738 7.47445236088e-05 1 3.92672979738 0 0
0.00617 3.92655197071 6.46593084689e-05 1 3.92655197071 0 0
0.00618 3.92633974832 7.97977924207e-05 1 3.92633974832 0 0
0.00619 3.92614898384 6.43227815543e-05 1 3.92614898384 0 0
0.0062 3.92592600981 8.0149385159e-05 1 3.92592600981 0 0
0.00621 3.92573596134 6.36456913966e-05 1 3.92573596134 0 0
0.00622 3.92551223924 7.44270296356e-05 1 3.92551223924 0 0
0.00623 3.92532363139 5.28690635401e-05 1 3.92532363139 0 0
0.00624 3.92511208452 4.71405250088e-05 1 3.92511208452 0 0
0.00625 3.92494640566 5.86108597571e-05 1 3.92494640566 0 0
0.00626 3.92479291518 7.44406703944e-05 1 3.92479291518 0 0
0.00627 3.92461501973 7.51280974617e-05 1 3.92461501973 0 0
0.00628 3.92440344384 4.21007041154e-05 1 3.92440344384 0 0
0.00629 3.92419040533 4.71515969589e-05 1 3.92419040533 0 0
0.0063 3.92404763788 7.47981560133e-05 1 3.92404763788 0 0
0.00631 3.92389412384 5.86265775976e-05 1 3.92389412384 0 0
0.00632 3.92368178734 6.47066069202e-05 1 3.92368178734 0 0
0.00633 3.92350385845 4.85359712272e-05 1 3.92350385845 0 0
0.00634 3.92331299333 4.31451844018e-05 1 3.92331299333 0 0
0.00635 3.92315653382 4.31469050761e-05 1 3.92315653382 0 0
0.00636 3.92301154406 4.81960802888e-05 1 3.92301154406 0 0
0.00637 3.92286655065 7.48206760623e-05 1 3.92286655065 0 0
